Classroom_ID,student_ID,studentgender,grade,course,Year,teststarttime,testdurationminutes,test_percentile,growth_percentile
Classroom9,215b8114967a47fcadbed0c1d4a0cee4,M,3,Language Usage,Year2,0.900381944,19,67,
Classroom9,215b8114967a47fcadbed0c1d4a0cee4,M,3,Math K-12,Year2,0.901122685,26,75,
Classroom9,215b8114967a47fcadbed0c1d4a0cee4,M,3,Reading,Year2,0.898599537,48,73,
Classroom9,84d738c2981c49f9acbcd3666d52affd,M,3,Language Usage,Year2,0.900405093,30,65,
Classroom9,84d738c2981c49f9acbcd3666d52affd,M,3,Math K-12,Year2,0.904247685,54,56,
Classroom9,84d738c2981c49f9acbcd3666d52affd,M,3,Reading,Year2,0.898761574,36,22,
Classroom9,528a23724e9f43568f0a95714e3a8725,F,3,Language Usage,Year2,0.900393519,29,94,
Classroom9,528a23724e9f43568f0a95714e3a8725,F,3,Math K-12,Year2,0.902847222,45,76,
Classroom9,528a23724e9f43568f0a95714e3a8725,F,3,Reading,Year2,0.898611111,57,85,
Classroom9,fa6be0a614264f8e8f0d811b0f4bca3c,F,3,Language Usage,Year2,0.900451389,18,60,
Classroom9,fa6be0a614264f8e8f0d811b0f4bca3c,F,3,Math K-12,Year2,0.901157407,47,42,
Classroom9,fa6be0a614264f8e8f0d811b0f4bca3c,F,3,Reading,Year2,0.898680556,33,80,
Classroom9,247590b42a3349aaa68173e7e937d528,F,3,Language Usage,Year2,0.90037037,28,41,
Classroom9,247590b42a3349aaa68173e7e937d528,F,3,Math K-12,Year2,0.901030093,41,23,
Classroom9,247590b42a3349aaa68173e7e937d528,F,3,Reading,Year2,0.898645833,44,36,
Classroom9,d51eed19efc14a5d8148f782767b0460,M,3,Language Usage,Year2,0.900405093,22,88,
Classroom9,d51eed19efc14a5d8148f782767b0460,M,3,Math K-12,Year2,0.901099537,24,89,
Classroom9,d51eed19efc14a5d8148f782767b0460,M,3,Reading,Year2,0.898611111,35,86,
Classroom9,e34f16338f434c04a3ae3f2e9d9fc494,M,3,Language Usage,Year2,0.900462963,22,53,
Classroom9,e34f16338f434c04a3ae3f2e9d9fc494,M,3,Math K-12,Year2,0.901053241,32,78,
Classroom9,e34f16338f434c04a3ae3f2e9d9fc494,M,3,Reading,Year2,0.898645833,28,56,
Classroom9,6b6bd4b97f3f4dc18037c33cf4544e8a,F,3,Language Usage,Year2,0.900381944,27,88,
Classroom9,6b6bd4b97f3f4dc18037c33cf4544e8a,F,3,Math K-12,Year2,0.901145833,41,99,
Classroom9,6b6bd4b97f3f4dc18037c33cf4544e8a,F,3,Reading,Year2,0.898611111,43,75,
Classroom9,6c7bc09b2f2b45c0b97db4e126c50902,F,3,Math K-12,Year2,0.901053241,71,72,
Classroom9,0b62f374e47f4149be5a816d5b04b905,F,3,Language Usage,Year2,0.900393519,29,94,
Classroom9,0b62f374e47f4149be5a816d5b04b905,F,3,Math K-12,Year2,0.901076389,74,82,
Classroom9,0b62f374e47f4149be5a816d5b04b905,F,3,Reading,Year2,0.898541667,39,80,
Classroom9,6f8bf21f16594c7e8bde2bfb02038437,F,3,Language Usage,Year2,0.900393519,38,95,
Classroom9,6f8bf21f16594c7e8bde2bfb02038437,F,3,Math K-12,Year2,0.901087963,60,85,
Classroom9,6f8bf21f16594c7e8bde2bfb02038437,F,3,Reading,Year2,0.898611111,66,88,
Classroom9,1c22d41419be4a89a605853f7faebcf6,F,3,Language Usage,Year2,0.900335648,47,53,
Classroom9,1c22d41419be4a89a605853f7faebcf6,F,3,Math K-12,Year2,0.901145833,63,42,
Classroom9,1c22d41419be4a89a605853f7faebcf6,F,3,Reading,Year2,0.898622685,76,32,
Classroom9,e210b86c57fd492ea479a7bd8b793f57,M,3,Language Usage,Year2,0.900405093,19,54,
Classroom9,e210b86c57fd492ea479a7bd8b793f57,M,3,Math K-12,Year2,0.902037037,19,51,
Classroom9,e210b86c57fd492ea479a7bd8b793f57,M,3,Reading,Year2,0.898599537,20,33,
Classroom9,7cc13de2b47e4cec97911f9c695c52b8,,,,Year2,,,,
Classroom9,b6e7e9ac1a674a61aca13157403bbb4f,M,3,Language Usage,Year2,21:36:37,43,58,
Classroom9,b6e7e9ac1a674a61aca13157403bbb4f,M,3,Math K-12,Year2,21:38:51,52,68,
Classroom9,b6e7e9ac1a674a61aca13157403bbb4f,M,3,Reading,Year2,21:37:07,63,56,
Classroom9,4e419d60b74042ddac0bd2fa8783d028,M,3,Language Usage,Year2,21:36:30,45,94,
Classroom9,4e419d60b74042ddac0bd2fa8783d028,M,3,Math K-12,Year2,21:37:31,45,79,
Classroom9,4e419d60b74042ddac0bd2fa8783d028,M,3,Reading,Year2,21:33:54,76,95,
Classroom9,5808d0a8591041c18c4ee5fa7d2f8558,M,3,Language Usage,Year2,21:36:43,9,54,
Classroom9,5808d0a8591041c18c4ee5fa7d2f8558,M,3,Math K-12,Year2,21:37:50,17,42,
Classroom9,5808d0a8591041c18c4ee5fa7d2f8558,M,3,Reading,Year2,21:35:43,20,49,
Classroom9,0b599e707152452bbf360a340da2e6b5,M,3,Language Usage,Year2,21:36:38,28,84,
Classroom9,0b599e707152452bbf360a340da2e6b5,M,3,Math K-12,Year2,21:37:42,50,92,
Classroom9,0b599e707152452bbf360a340da2e6b5,M,3,Reading,Year2,21:34:05,52,86,
Classroom9,94b0a9c9c73b48649a7446f351fbc2a0,M,3,Language Usage,Year2,0.900381944,28,80,
Classroom9,94b0a9c9c73b48649a7446f351fbc2a0,M,3,Math K-12,Year2,0.901342593,40,65,
Classroom9,94b0a9c9c73b48649a7446f351fbc2a0,M,3,Reading,Year2,0.898900463,37,78,
Classroom13,ef7dcfcf329942edba61283164143c3a,F,3,Language Usage,Year2,21:37:04,36,52,
Classroom13,ef7dcfcf329942edba61283164143c3a,F,3,Math K-12,Year2,21:39:57,51,48,
Classroom13,ef7dcfcf329942edba61283164143c3a,F,3,Reading,Year2,21:38:23,119,90,
Classroom13,734c001012514d69a3ef344ac68d3036,F,3,Language Usage,Year2,21:38:56,36,52,
Classroom13,734c001012514d69a3ef344ac68d3036,F,3,Math K-12,Year2,1:39:13,43,37,
Classroom13,734c001012514d69a3ef344ac68d3036,F,3,Reading,Year2,21:41:08,82,73,
Classroom13,1377b3a085f0443e98b86da0ec3ba383,F,3,Language Usage,Year2,21:37:01,35,86,
Classroom13,1377b3a085f0443e98b86da0ec3ba383,F,3,Math K-12,Year2,21:39:40,67,91,
Classroom13,1377b3a085f0443e98b86da0ec3ba383,F,3,Reading,Year2,21:38:21,77,93,
Classroom13,1df2e87b8f384785b224a32692d047e7,F,3,Language Usage,Year2,21:37:05,35,82,
Classroom13,1df2e87b8f384785b224a32692d047e7,F,3,Math K-12,Year2,21:39:51,61,72,
Classroom13,1df2e87b8f384785b224a32692d047e7,F,3,Reading,Year2,21:38:14,49,92,
Classroom13,66daa464de8c4fceb052b4d6a9b77657,M,3,Language Usage,Year2,0.902233796,77,89,
Classroom13,66daa464de8c4fceb052b4d6a9b77657,M,3,Math K-12,Year2,0.904236111,72,73,
Classroom13,66daa464de8c4fceb052b4d6a9b77657,M,3,Reading,Year2,0.903402778,123,87,
Classroom13,089c2230f8d949089d7e1bd80fdc3ac3,M,3,Language Usage,Year2,0.900752315,33,76,
Classroom13,089c2230f8d949089d7e1bd80fdc3ac3,M,3,Math K-12,Year2,0.903101852,63,72,
Classroom13,089c2230f8d949089d7e1bd80fdc3ac3,M,3,Reading,Year2,0.901643519,60,68,
Classroom13,0a70dbfa1b69402b874657c4bf7b0881,F,3,Language Usage,Year2,0.900694444,57,69,
Classroom13,0a70dbfa1b69402b874657c4bf7b0881,F,3,Math K-12,Year2,0.902766204,79,67,
Classroom13,0a70dbfa1b69402b874657c4bf7b0881,F,3,Reading,Year2,0.901631944,97,57,
Classroom13,fbc6a7aac46c4d8d8a8611f7068efeba,M,3,Language Usage,Year2,0.900775463,24,87,
Classroom13,fbc6a7aac46c4d8d8a8611f7068efeba,M,3,Math K-12,Year2,0.902789352,32,77,
Classroom13,fbc6a7aac46c4d8d8a8611f7068efeba,M,3,Reading,Year2,0.901597222,34,91,
Classroom13,cf7afaaedde147a79e82ce824faf558c,M,3,Language Usage,Year2,0.900706019,43,83,
Classroom13,cf7afaaedde147a79e82ce824faf558c,M,3,Math K-12,Year2,0.902604167,56,85,
Classroom13,cf7afaaedde147a79e82ce824faf558c,M,3,Reading,Year2,0.901666667,85,47,
Classroom13,a1a149605efe4b9696fb3e2100f652ca,M,3,Language Usage,Year2,0.902002315,33,34,
Classroom13,a1a149605efe4b9696fb3e2100f652ca,M,3,Math K-12,Year2,0.904247685,56,39,
Classroom13,a1a149605efe4b9696fb3e2100f652ca,M,3,Reading,Year2,0.903275463,88,48,
Classroom13,134ff1ffc58f46b8aeebbc92c84cb416,M,3,Language Usage,Year2,0.900752315,29,85,
Classroom13,134ff1ffc58f46b8aeebbc92c84cb416,M,3,Math K-12,Year2,0.902569444,73,92,
Classroom13,134ff1ffc58f46b8aeebbc92c84cb416,M,3,Reading,Year2,0.901724537,51,80,
Classroom13,94c1fb00b282419c9fa6aec6b6452f59,M,3,Language Usage,Year2,0.900821759,28,85,
